nombre;tipo;zip_code;estado;direccion;seller_rating;seller_reviews
AutoNation Cadillac West Palm Beach;Dealer;33407;FL;2101 45th St West Palm Beach;4.7;598
AutoNation CDJR FIAT Johnson City;Dealer;37601;TN;3700 Bristol Hwy Johnson City;4.4;731
AutoNation CDJR FIAT North Columbus;Dealer;31909;GA;3000 N Lake Pkwy Building 100 Columbus;4.4;189
AutoNation Chevrolet Airport;Dealer;32812;FL;5600 Lee Vista Blvd Orlando;4.7;676
AutoNation Chevrolet Arrowhead;Dealer;85382;AZ;9055 W Bell Rd Peoria;4.5;902
AutoNation Chevrolet Coral Gables;Dealer;33134;FL;4181 SW 8th St Miami;4.6;459
AutoNation Chevrolet Doral;Dealer;33172;FL;1201 NW 89 Court Miami;4.7;722
AutoNation Chevrolet Gilbert;Dealer;85297;AZ;3215 S Auto Way Gilbert;4.5;593
AutoNation Chevrolet Gulf Freeway;Dealer;77034;TX;13800 Gulf Fwy Houston;4.8;722
AutoNation Chevrolet Laurel;Dealer;20707;MD;500 Washington Blvd S Laurel;4.5;446
AutoNation Chevrolet Mesa;Dealer;85206;AZ;6330 E Superstition Springs Blvd Mesa;4.4;912
AutoNation Chevrolet North Corpus Christi;Dealer;78416;TX;2118 S Padre Island Dr Corpus Christi;4.7;537
